title,amount,due date,link
The Transformer Association Scholarship Program,"$2,500 ",04/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/the-transformer-association-scholarship-program
The U. K. Gupta Family Scholarship Endowment,"$3,500 ",Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/the-u-k-gupta-family-scholarship-endowment
The Women's Empowerment Scholarship,Varies ,04/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/the-womens-empowerment-scholarship
Triangle Scholar-Leader Scholarship,"$5,000 ",02/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/triangle-scholar-leader-scholarship
  Trythall Family Scholarship for Excellence in Continuing Education Fund,"$1,000 ",06/07/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/trythall-family-scholarship-for-excellence-in-continuing-education-fund
TVIW Scholarship,"$2,500 ",05/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/tviw-scholarship
Two Ten Higher Education Scholarship,"$16,000 ",04/19/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/two-ten-higher-education-scholarship
UNCF STEM Scholars Program Scholarship,"$25,000 ",03/03/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/uncf-stem-scholars-program-scholarship
Union Pacific William E. Wimmer Scholarship,"$1,000 ",12/11/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/union-pacific-william-e-wimmer-scholarship
Utah Space Grant Consortium Fellowships & Scholarships,Varies ,Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/utah-space-grant-consortium-fellowships-and-scholarships
Washington HECB American Indian Endowed Scholarship,"$2,000 ",02/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/washington-hecb-american-indian-endowed-scholarship
Washington Society of Professional Engineers Engineering Scholarship,"$3,000 ",05/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/washington-society-of-professional-engineers-engineering-scholarship
Western Digital Scholarship Program,"$5,000 ",04/03/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/western-digital-scholarship-program
WiNUP Fellowship Scholarship,Varies ,05/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/winup-fellowship-scholarship
Women in Defense Michigan - STEM Scholarship,"$2,500 ",05/11/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/women-in-defense-michigan-stem-scholarship
Women in Leadership Scholarship,"$5,000 ",04/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/women-in-leadership-scholarship
Woodrow Wilson Teaching Fellowship,"$32,000 ",Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/woodrow-wilson-teaching-fellowship
ZONTA Milwaukee Scholarships,"$1,000 ",06/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/zonta-milwaukee-scholarships
